Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS submitted	MS/MS submitted (SIL)	MS/MS submitted (ISO)	MS/MS submitted (PEAK)	MS/MS identified	MS/MS identified (SIL)	MS/MS identified (ISO)	MS/MS identified (PEAK)	MS/MS identified [%]	MS/MS identified (SIL) [%]	MS/MS identified (ISO) [%]	MS/MS identified (PEAK) [%]	Peptide sequences identified	Peaks	Peaks sequenced	Peaks sequenced [%]	Peaks repeatedly sequenced	Peaks repeatedly sequenced [%]	Isotope patterns	Isotope patterns sequenced	Isotope patterns sequenced (z>1)	Isotope patterns sequenced [%]	Isotope patterns sequenced (z>1) [%]	Isotope patterns repeatedly sequenced	Isotope patterns repeatedly sequenced [%]	Recalibrated	Av. absolute mass deviation [ppm]	Mass standard deviation [ppm]	Av. absolute mass deviation [mDa]	Mass standard deviation [mDa]
LMap_BPD_TMT_01_22Apr20_Arwen_20-03-08	Lmap_BPD_TMT	1	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS2		8644	31410	0	35642	27178	0	8464	4134	3977	0	157	12	15	0	1.9	1751	916499	27413	3	2105	7.7	95381	22266	21974	23	32	3074	14	+	0.70874	0.98112	130500	139400
LMap_BPD_TMT_02_22Apr20_Arwen_20-03-08	Lmap_BPD_TMT	2	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS2		8719	31213	0	34861	27565	0	7296	4432	4278	0	154	13	16	0	2.1	1839	949037	27333	2.9	2211	8.1	99992	22716	22409	23	31	3072	14	+	0.72576	0.99322	137410	146810
LMap_BPD_TMT_03_22Apr20_Arwen_20-03-08	Lmap_BPD_TMT	3	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS2		8240	32526	0	36152	28900	0	7252	3766	3609	0	157	10	12	0	2.2	1540	955802	29351	3.1	1801	6.1	111027	25091	24738	23	30	2491	9.9	+	0.75646	1.0359	145040	156050
LMap_BPD_TMT_04_22Apr20_Arwen_20-03-08	Lmap_BPD_TMT	4	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS2		8820	30944	0	34662	27226	0	7436	4659	4479	0	180	13	16	0	2.4	1894	937429	26974	2.9	2171	8	96839	22209	21890	23	31	2984	13	+	0.74174	1.021	141480	151820
LMap_BPD_TMT_05_22Apr20_Arwen_20-03-08	Lmap_BPD_TMT	5	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS2		9025	30395	0	33859	26931	0	6928	4491	4364	0	127	13	16	0	1.8	2100	954526	27405	2.9	1674	6.1	99598	23149	22832	23	31	2506	11	+	0.72479	1.0018	148710	159580
LMap_BPD_TMT_06_22Apr20_Arwen_20-03-08	Lmap_BPD_TMT	6	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS2		9066	30338	0	34031	26645	0	7386	4502	4321	0	181	13	16	0	2.5	2040	951881	26864	2.8	1966	7.3	97727	22271	21937	23	31	2762	12	+	0.71851	0.99157	151610	162580
LMap_BPD_TMT_07_22Apr20_Arwen_20-03-08	Lmap_BPD_TMT	7	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS2		8778	31066	0	34488	27644	0	6844	5692	5473	0	219	17	20	0	3.2	2432	946210	27637	2.9	1957	7.1	100453	23341	23057	23	31	2756	12	+	0.73685	1.0256	154880	166760
LMap_BPD_TMT_08_22Apr20_Arwen_20-03-08	Lmap_BPD_TMT	8	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS2		8591	31533	0	34954	28112	0	6842	5612	5448	0	164	16	19	0	2.4	2527	929576	28065	3	2007	7.2	100489	23775	23490	24	31	2736	12	+	0.71625	1.0011	160080	171990
LMap_BPD_TMT_09_22Apr20_Arwen_20-03-08	Lmap_BPD_TMT	9	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS2		8409	32062	0	35621	28503	0	7118	5579	5414	0	165	16	19	0	2.3	2671	908840	28720	3.2	1951	6.8	100029	24431	24162	24	31	2665	11	+	0.75079	1.0277	161010	172990
LMap_BPD_TMT_10_22Apr20_Arwen_20-03-08	Lmap_BPD_TMT	10	Trypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Reporter ion MS2		8556	31664	0	35186	28142	0	7044	5789	5654	0	135	16	20	0	1.9	2732	924439	28587	3.1	1760	6.2	101484	24308	24017	24	31	2580	11	+	0.69024	0.97765	162720	174330
