"enriched_in"	"Category"	"Term_accession"	"Term_description"	"Count_query"	"Pop_query"	"Count_universe"	"Pop_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"Cluster_1"	"GO_MF"	"45296"	"cadherin binding "	61	515	256	5739	11.6504854368932	4.46070744032061	3.25398262203691e-10	2.11183472170196e-07	2.61180218446602	"A0MZ66;O00299;O14908;O43795;O60645;O75369;P06733;P15311;P20810;P31946;P33176;P35241;P35579;P35613;P37802;P41091;P42566;P43487;P50402;P55285;P62258;P62750;P63104;P78344;Q01082;Q06830;Q07157;Q09666;Q13177;Q13596;Q13813;Q14C86;Q15208;Q15691;Q5T0N5;Q5VWQ8;Q6WCQ1;Q7L1Q6;Q86SQ0;Q86UP2;Q86W92;Q8IUD2;Q92817;Q96PY5;Q96TA1;Q9BZ29;Q9C0C2;Q9H4M9;Q9NQC3;Q9P2M7;Q9UBC2;Q9UDY2;Q9UHN6;Q9UHX1;Q9UNF0;Q9UPN3;Q9Y371;Q9Y5K6;Q9Y5X3;Q9Y6E0;Q53SF7"
"Cluster_1"	"GO_CC"	"5737"	"cytoplasm "	243	515	2061	5739	46.9902912621359	35.9121798222687	8.42732926748954e-07	0.00024944894631769	1.30847783383502	"A0MZ66;O00161;O00291;O00299;O00410;O00443;O00757;O14639;O14744;O14907;O14908;O14980;O43707;O43795;O43809;O60271;O60488;O60610;O60861;O60890;O60925;O75369;O75449;O75695;O75882;O75886;O75940;O94811;O94885;O95171;O95347;O95359;O95833;P04040;P04083;P04424;P05067;P05387;P05388;P05783;P06703;P06733;P07355;P09417;P0DMN0;P0DP25;P11308;P12081;P12429;P13693;P13797;P14324;P15311;P15428;P16234;P18621;P18669;P19634;P20042;P20810;P21127;P22059;P23381;P23458;P25788;P25789;P26038;P26583;P27348;P28070;P28482;P30419;P30711;P31946;P32456;P32969;P35579;P36222;P37198;P40424;P40763;P41091;P42858;P43487;P46939;P47813;P49137;P49189;P49321;P49354;P49773;P49792;P50395;P50402;P51692;P51812;P52298;P52566;P52594;P55786;P56524;P58546;P60903;P61088;P61163;P61981;P62258;P62328;P62750;P62753;P62937;P62979;P63104;P63172;P63208;P63241;P78318;P78417;Q01082;Q01105;Q01844;Q02763;Q02952;Q03001;Q04917;Q05209;Q06323;Q06787;Q06830;Q07157;Q07666;Q07817;Q07866;Q08209;Q09666;Q12899;Q13045;Q13177;Q13426;Q13464;Q13561;Q13596;Q13868;Q13884;Q14152;Q14155;Q14511;Q14974;Q15173;Q15208;Q15418;Q15631;Q15843;Q16539;Q16543;Q16825;Q5T0N5;Q5VWQ8;Q6P1M3;Q70IA6;Q7L1Q6;Q86VS8;Q8IUD2;Q8N3R9;Q8NF91;Q8NI35;Q8TBC4;Q8TC07;Q8TDW0;Q8WWI1;Q92556;Q92688;Q92817;Q92900;Q96A65;Q96B97;Q96BM9;Q96CW5;Q96M96;Q96PU8;Q96QG7;Q96TA1;Q99417;Q99471;Q99816;Q99933;Q9BPY8;Q9BRP8;Q9BUL8;Q9BW04;Q9BWD1;Q9C0C2;Q9C0I1;Q9GZS3;Q9H788;Q9NQP4;Q9NQW7;Q9NR19;Q9NSA3;Q9NV70;Q9NW64;Q9NZ09;Q9P2B4;Q9P2P5;Q9UHV9;Q9UHY1;Q9UIK4;Q9UJ68;Q9UJC3;Q9UKG1;Q9ULC3;Q9ULL8;Q9ULP0;Q9UM54;Q9UNF0;Q9UNW9;Q9UPN3;Q9UQ80;Q9UQB8;Q9Y2H1;Q9Y333;Q9Y371;Q9Y376;Q9Y3A3;Q9Y3A5;Q9Y3B8;Q9Y3F4;Q9Y4F3;Q9Y4K4;Q9Y5K6;Q9Y5S2;Q9Y613;Q9Y696;Q9Y6E0;O94903;P63313;Q5QJ74;Q6A1A2;Q9H446;Q9ULE6;A6NKT7;Q9P2N5;Q96CN7"
"Cluster_1"	"GO_CC"	"5829"	"cytosol "	297	515	2680	5739	57.4757281553398	46.6980310158564	3.09729266157469e-06	0.000611199085217406	1.23079553687871	"O00244;O00291;O00443;O00505;O00757;O14744;O14907;O14908;O14980;O15144;O15514;O43252;O43264;O43504;O43633;O43707;O60271;O60343;O60506;O60610;O60645;O75369;O75663;O75688;O75886;O94811;O94905;O95347;O95359;P00558;P04040;P04083;P04424;P04632;P05067;P05387;P05388;P05783;P06703;P06733;P06753;P07355;P09417;P09960;P0DMN0;P12081;P13693;P13797;P14324;P15311;P15428;P17980;P18621;P18669;P19784;P19793;P20042;P20810;P22059;P23381;P23458;P25788;P25789;P26038;P27348;P28070;P28482;P29558;P30419;P30711;P31946;P32456;P32969;P33176;P35579;P37802;P40763;P41091;P41743;P42566;P42858;P43487;P46976;P47813;P48556;P48643;P49137;P49189;P49354;P49356;P49593;P49773;P49792;P50395;P50402;P51665;P51692;P51784;P51812;P52298;P52434;P52565;P52566;P52594;P53367;P54727;P55786;P56524;P58546;P61006;P61088;P61163;P61601;P61981;P62258;P62328;P62750;P62753;P62877;P62937;P62979;P63010;P63104;P63151;P63208;P63241;P68400;P78318;P78344;P78417;P84077;Q01082;Q01105;Q01543;Q02750;Q02952;Q03001;Q04917;Q05209;Q06323;Q06787;Q06830;Q07157;Q07666;Q07817;Q07866;Q08209;Q09666;Q10567;Q12846;Q12899;Q13045;Q13177;Q13237;Q13426;Q13464;Q13561;Q13596;Q13813;Q13868;Q14152;Q14155;Q14156;Q14511;Q14683;Q14974;Q14C86;Q15036;Q15173;Q15208;Q15370;Q15418;Q15631;Q15691;Q15833;Q15843;Q16539;Q16543;Q29RF7;Q4KMP7;Q5JSH3;Q5T0N5;Q5VWQ8;Q6IQ22;Q6P1M3;Q6WCQ1;Q6WKZ4;Q70E73;Q70IA6;Q7Z406;Q7Z7B0;Q86SQ0;Q86VS8;Q86W92;Q8IW35;Q8IY17;Q8IYB3;Q8IYI6;Q8IZH2;Q8N0W3;Q8NEZ2;Q8NHV1;Q8NI35;Q8TBC4;Q8WUM0;Q8WUM4;Q8WWI1;Q92556;Q92600;Q92783;Q92817;Q92890;Q92900;Q96A65;Q96B97;Q96CW5;Q96FZ7;Q96IY1;Q96M96;Q96PY5;Q96QG7;Q96SU4;Q96TA1;Q99471;Q99576;Q99613;Q99685;Q99816;Q99933;Q99996;Q9BRP8;Q9BUL8;Q9BW04;Q9BWD1;Q9BYG5;Q9BYI3;Q9BZ29;Q9C0C2;Q9C0I1;Q9GZS3;Q9H0U4;Q9H2M9;Q9H788;Q9H7P6;Q9NP79;Q9NQP4;Q9NQW7;Q9NR19;Q9NSA3;Q9NTI5;Q9NV70;Q9NV88;Q9NX62;Q9NZ09;Q9NZB8;Q9P0K7;Q9P2K3;Q9UBC2;Q9UDY2;Q9UHN6;Q9UHP3;Q9UHV9;Q9UJ68;Q9UJC3;Q9UJF2;Q9UKD1;Q9UKG1;Q9ULC3;Q9ULP0;Q9UM54;Q9UNF0;Q9UNM6;Q9UPT5;Q9UQB8;Q9Y262;Q9Y2H1;Q9Y333;Q9Y371;Q9Y376;Q9Y3A3;Q9Y3A5;Q9Y3F4;Q9Y3P9;Q9Y4D1;Q9Y5S2;Q9Y5W7;Q9Y5X3;Q9Y613;Q9Y678;Q9Y696;Q9Y6E0;Q9Y6G9;O94903;Q15847;Q6NXE6;Q9HA64;Q9ULE6"
"Cluster_1"	"GO_BP"	"90148"	"membrane fission "	15	515	36	5739	2.71844660194175	0.627286983795086	3.21517673056205e-05	0.0820191583966378	4.3336569579288	"O43633;O60645;O75886;Q8IYI6;Q8NEZ2;Q92783;Q96A65;Q96FZ7;Q99816;Q9H7P6;Q9NV70;Q9NZ09;Q9UPT5;Q9Y2D4;Q9Y371"
"Cluster_1"	"GO_CC"	"5886"	"plasma membrane "	164	515	1362	5739	31.6504854368932	23.7323575535808	8.96335602504191e-05	0.00912307917269492	1.33364270133869	"O00161;O00299;O00443;O00501;O00757;O14907;O43633;O43707;O43795;O60488;O60610;O60861;O75051;O75128;O75369;O75558;O75695;O75882;O75923;O75955;O94905;O95359;O95716;P04040;P04083;P04632;P05023;P05026;P05067;P06703;P06733;P06858;P07355;P0DP25;P11233;P11234;P12429;P13797;P15260;P15311;P16234;P17948;P18827;P19634;P19784;P22059;P24530;P26038;P27701;P28482;P30419;P30519;P35241;P35579;P35613;P40763;P41217;P41743;P42566;P46939;P49354;P49755;P49773;P53708;P54709;P55285;P60903;P61006;P62979;P63010;P68400;P84077;Q01082;Q01844;Q02750;Q02763;Q02952;Q04917;Q07157;Q08209;Q08722;Q09666;Q12846;Q13177;Q13277;Q13464;Q13813;Q14156;Q14254;Q14511;Q14689;Q14C86;Q15165;Q15833;Q16625;Q29RF7;Q4KMP7;Q5T0N5;Q5VWQ8;Q6IQ22;Q6P1M3;Q6UVK1;Q70E73;Q7Z7B0;Q86SQ0;Q86W92;Q8IWT6;Q8IYI6;Q8IZF2;Q8IZH2;Q8N3R9;Q8NFX7;Q8NI35;Q8TDW0;Q92508;Q92556;Q92692;Q969X1;Q96A65;Q96AP7;Q96B97;Q96BM9;Q96FZ7;Q96TA1;Q99685;Q99758;Q99816;Q9BQE4;Q9BUL8;Q9BW04;Q9BYG5;Q9BYI3;Q9C0C2;Q9H2M9;Q9H4M9;Q9H7P6;Q9NQC3;Q9NUN5;Q9NV70;Q9NWQ8;Q9NZ09;Q9P2M7;Q9UBC2;Q9UDY2;Q9UHN6;Q9UJ68;Q9UKG1;Q9ULC3;Q9UM54;Q9UNF0;Q9UPN3;Q9UPT5;Q9UQB8;Q9Y2Q5;Q9Y4D1;Q9Y4D7;Q9Y5K6;Q9Y5S2;Q9Y5Y7;Q9Y696;Q9Y6G9;O95164;Q8IXS6;Q9H1Z4"
"Cluster_1"	"GO_MF"	"3779"	"actin binding "	34	515	166	5739	6.40776699029126	2.8924899808329	0.000102624456016878	0.0333016359774768	2.21531173236636	"O14639;O14908;O15144;O43707;O60610;O60890;O75369;P15311;P26038;P26447;P35241;P35579;P46939;P50402;P61601;Q01082;Q03001;Q04917;Q13045;Q13813;Q13884;Q27J81;Q8NF91;Q96JY6;Q96M96;Q9P0K7;Q9P2M7;Q9UJC3;Q9UM54;Q9UPN3;Q9Y2H1;Q9Y4D1;P60983;Q9NYL9"
"Cluster_1"	"GO_CC"	"5912"	"adherens junction "	24	515	98	5739	4.46601941747573	1.70761456699773	0.000136344531796389	0.0115308518319232	2.61535565682584	"O00161;O75955;P04083;P05783;P07355;P15311;P26038;P35241;P35579;P55285;P78344;Q07157;Q14254;Q6P1M3;Q8N3R9;Q8NFX7;Q96AP7;Q96JY6;Q96TA1;Q9C0C2;Q9UDY2;Q9ULL8;Q9UQB8;Q9NYL9"
"Cluster_1"	"GO_CC"	"31982"	"vesicle "	21	515	81	5739	3.88349514563107	1.41139571353894	0.000170124034695944	0.0125891785674999	2.75152822725638	"O00299;O00443;O60343;P04083;P07355;P0DP25;P15311;P26038;P33176;P37802;P50395;P62937;P62979;P63104;Q09666;Q13561;Q13596;Q14254;Q86Y82;Q9H7P6;Q9Y5K6"
"Cluster_1"	"GO_CC"	"5925"	"focal adhesion "	52	515	328	5739	9.90291262135922	5.71528140791079	0.000333760306503092	0.0219540112722034	1.73270779067014	"O00161;O15144;O43707;O75369;O75955;P04040;P04083;P05387;P05388;P11233;P15311;P17948;P19634;P23458;P26038;P27348;P28482;P31946;P32969;P35241;P35579;P35613;P50395;P53708;P61981;P62258;P62937;P63104;P84077;Q02750;Q02763;Q02952;Q03001;Q05209;Q09666;Q13045;Q13443;Q13884;Q14155;Q14254;Q14511;Q15691;Q6UVK1;Q6WCQ1;Q86W92;Q8WUM4;Q8WWI1;Q92692;Q96B97;Q9ULL8;Q9UNF0;Q9Y3B8"
"Cluster_1"	"GO_MF"	"19904"	"protein domain specific binding "	26	515	122	5739	4.85436893203883	2.12580588952779	0.000387906057103917	0.0839170103534806	2.2835428935222	"O43633;P0DP25;P11387;P15311;P22059;P23381;P26583;P27348;P31946;P35579;P53367;P61981;P62258;P63104;P63208;P84077;Q04917;Q07666;Q13363;Q14974;Q16625;Q8N3R9;Q92600;Q9UDY2;Q9Y4D7;Q9Y613"
