"","D053_hBPD","D015_hBPD","D039_hBPD","D046_ctrl","D032_ctrl","D011_ctrl","D006_ctrl","D139_ctrl","D079_ctrl","D184_eBPD","D115_eBPD","D170_eBPD","ctrl_mean","eBPD_mean","hBPD_mean","ctrl_sd","eBPD_sd","hBPD_sd","Z_scores_D053_hBPD","Z_scores_D015_hBPD","Z_scores_D039_hBPD","Z_scores_D046_ctrl","Z_scores_D032_ctrl","Z_scores_D011_ctrl","Z_scores_D006_ctrl","Z_scores_D139_ctrl","Z_scores_D079_ctrl","Z_scores_D184_eBPD","Z_scores_D115_eBPD","Z_scores_D170_eBPD","ctrl_vs_eBPD_Ttest_p","ctrl_vs_eBPD_Ttest_padj","log(ctrl/eBPD)","ctrl_vs_hBPD_Ttest_p","ctrl_vs_hBPD_Ttest_padj","log(ctrl/hBPD)","eBPD_vs_hBPD_Ttest_p","eBPD_vs_hBPD_Ttest_padj","log(eBPD/hBPD)","eBPD_vs_ctrl_Ttest_p","eBPD_vs_ctrl_Ttest_padj","log(eBPD/ctrl)","hBPD_vs_ctrl_Ttest_p","hBPD_vs_ctrl_Ttest_padj","log(hBPD/ctrl)","hBPD_vs_eBPD_Ttest_p","hBPD_vs_eBPD_Ttest_padj","log(hBPD/eBPD)","ANOVA_p","ANOVA_padj","hclust_clusters","missing_data_D053_hBPD","missing_data_D015_hBPD","missing_data_D039_hBPD","missing_data_D046_ctrl","missing_data_D032_ctrl","missing_data_D011_ctrl","missing_data_D006_ctrl","missing_data_D139_ctrl","missing_data_D079_ctrl","missing_data_D184_eBPD","missing_data_D115_eBPD","missing_data_D170_eBPD"
"Q7Z7G0",20.4487508610956,20.1890742879376,20.2644135810385,19.9141684187238,20.2970176241903,20.5874910749568,19.7130769822107,20.3695616528202,19.812386903664,20.2879738790687,19.3287963492239,20.8757841940418,20.1156171094276,20.1641848074448,20.3007462433573,0.350607388374184,0.780887731171195,0.133596509779074,0.654335236966027,0.035807282840736,0.21525919973976,-0.618995585180639,0.292919313093826,0.984802862870166,-1.09797862668458,0.465713142998366,-0.861430670918624,0.271377865978826,-2.01330306600791,1.67149304430406,0.926133560981012,0.976489096258451,-0.0485676980171696,0.292982414719141,0.99903168260057,-0.185129133929635,0.792050316166928,0.936237400081995,-0.136561435912466,0.926133560981012,0.976489096258451,0.0485676980171696,0.292982414719141,0.99903168260057,0.185129133929635,0.792050316166928,0.936237400081995,0.136561435912466,0.849668493830163,0.977962132461427,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Q8IUX7",20.0946947690097,19.7346497445203,20.0385591016466,19.9058890744267,19.9415899716094,19.8952216511219,19.9324274217142,20.2133819085062,19.8177998768102,20.2002103447972,20.0030735203437,20.4255347878826,19.9510516506981,20.2096062176745,19.9559678717255,0.135769092086916,0.211387304403494,0.193711353203165,0.405259825261306,-1.47080566242094,0.112756996435249,-0.57853893153928,-0.39251436092152,-0.634123048367737,-0.440257122155223,1.02369594045841,-1.03754014595773,0.955063646126939,-0.0721456403586654,2.12914850343927,0.153759352045073,0.58424437647548,-0.25855456697639,0.971034138229458,0.99903168260057,-0.00491622102738631,0.200767228398522,0.673040712574154,0.253638345949003,0.153759352045073,0.58424437647548,0.25855456697639,0.971034138229458,0.99903168260057,0.00491622102738631,0.200767228398522,0.673040712574154,-0.253638345949003,0.128021678009835,0.528206061105057,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Q8N8U9",16.7212075261719,17.368410765971,16.5805694571832,16.9922187745222,17.1750231245818,16.9309378171684,16.6688018858507,17.0363134776793,16.3341148166304,16.3270408732023,16.1190802897259,16.6894679522725,16.8562349827388,16.3785297050669,16.8900625831087,0.305243143243405,0.288658702019245,0.420187463696805,-0.0645942183723901,1.67310312507338,-0.442198012421545,0.663052828710513,1.15387026276348,0.498517563357777,-0.205299852040143,0.781444152832824,-1.10391221258762,-1.12290527681643,-1.68126551240585,-0.149812848094041,0.0784249229930761,0.473531080951434,0.477705277671909,0.908878073494857,0.99903168260057,-0.0338276003698788,0.166356923225605,0.655605345631898,-0.511532878041788,0.0784249229930761,0.473531080951434,-0.477705277671909,0.908878073494857,0.99903168260057,0.0338276003698788,0.166356923225605,0.655605345631898,0.511532878041788,0.139909046124429,0.546200401752277,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"P49747",13.6401999611594,13.5578817828465,13.2518997844168,13.5446958871136,13.5397945107606,13.3581455650135,13.4304335713599,13.5521339298954,13.449725316271,14.4023331270692,14.1616456796728,15.3879120573814,13.4791547967357,14.6506302880412,13.4833271761409,0.0789706902670093,0.64974681021508,0.204604615906793,-0.219247820820392,-0.355083716371499,-0.85999453474787,-0.37684219052915,-0.384930110597174,-0.684674926714043,-0.565390143195762,-0.364568434924638,-0.533556209301091,1.03837283165616,0.641206669393369,2.66470858615212,0.0879836030298808,0.492115687985713,-1.17147549130549,0.975544747144129,0.99903168260057,-0.00417237940523485,0.0783037068090521,0.571483757912136,1.16730311190026,0.0879836030298808,0.492115687985713,1.17147549130549,0.975544747144129,0.99903168260057,0.00417237940523485,0.0783037068090521,0.571483757912136,-1.16730311190026,0.00154915474801757,0.113767795767489,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"O00622",16.7258799199896,16.3532756745786,17.0269711273714,15.9958697469849,16.469402898387,16.9587137341626,16.4302093658734,16.2264775661179,16.8050318181047,16.0844212425072,16.4476412339499,16.2167797538077,16.4809508549384,16.2496140767549,16.7020422406465,0.356666294869855,0.183822632225914,0.337479728273824,0.737565038975456,-0.372861265094003,1.63486988914388,-1.43799390412895,-0.026781676566458,1.43145083045171,-0.143585309344384,-0.750741970091344,0.973451641896691,-1.17409484472833,-0.091635270987063,-0.779643159527266,0.240754201839732,0.658589478553544,0.231336778183508,0.411234501841452,0.99903168260057,-0.221091385708075,0.131475689317017,0.630044273431415,-0.452428163891582,0.240754201839732,0.658589478553544,-0.231336778183508,0.411234501841452,0.99903168260057,0.221091385708075,0.131475689317017,0.630044273431415,0.452428163891582,0.277374968086243,0.714448761967781,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Q07507",19.7028776443542,18.8425487896287,19.6470816402192,19.289043555074,19.678342287061,19.5727260501467,19.2705591403158,19.3955109142309,18.8973502802284,19.8789371165041,18.9404689216455,21.6045813015417,19.3505887045095,20.1413291132304,19.3975026914007,0.273643206360855,1.35129969404964,0.48141320436641,0.195983824471369,-0.984139618390546,0.119447774173799,-0.371677375699334,0.162328379624101,0.0174533165075131,-0.397032669856814,-0.225634817960465,-0.908967754276947,0.437486721044853,-0.849821394973554,2.80457361533603,0.417777344148578,0.765035505765498,-0.79074040872095,0.88662599162537,0.99903168260057,-0.0469139868912407,0.447107757194282,0.807247507824592,0.743826421829709,0.417777344148578,0.765035505765498,0.79074040872095,0.88662599162537,0.99903168260057,0.0469139868912407,0.447107757194282,0.807247507824592,-0.743826421829709,0.30491780477379,0.73631813184752,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"O94769",16.5691482157982,16.0908099967452,16.6200199136562,16.4302983758856,16.312143288351,16.7441429043578,16.2124583586968,16.7496092713263,15.8588153992663,17.1818947348993,15.8633113554888,18.0578494609376,16.3845779329806,17.0343518504419,16.4266593753998,0.339388677762635,1.10468368827108,0.291964186618445,0.0190109504458696,-0.764490446006971,0.102337025436497,-0.208420266913569,-0.40195419833264,0.305646175057006,-0.56523465236788,0.314599894376842,-1.14448954257537,1.0226684761562,-1.13712532236792,2.45745190709193,0.416421809937348,0.764561053556818,-0.649773917461253,0.85504692837883,0.99903168260057,-0.042081442419196,0.443818875230187,0.805889636826611,0.607692475042057,0.416421809937348,0.764561053556818,0.649773917461253,0.85504692837883,0.99903168260057,0.042081442419196,0.443818875230187,0.805889636826611,-0.607692475042057,0.321908347906802,0.749827435031329,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Q12805",20.5542262392673,20.2190003877178,20.7041448145281,20.2112882111521,20.2332302596753,20.7281249376112,20.1558748303305,20.5905696129064,20.1069270021926,21.8371380757404,20.0271446440844,22.2416725021988,20.3376691423113,21.3686517406745,20.4924571471711,0.256743102408808,1.1792552705834,0.248400572201582,-0.113592466463674,-0.590263522302977,0.0995827562383134,-0.601229774844067,-0.570029497811516,0.133681053062094,-0.680024278972499,-0.0619143688311787,-0.749625154954034,1.7106312227709,-0.863070883262332,2.28585491537094,0.267710004305037,0.681141588967604,-1.03098259836319,0.43026383524898,0.99903168260057,-0.154788004859739,0.326088689475142,0.745419783985391,0.876194593503449,0.267710004305037,0.681141588967604,1.03098259836319,0.43026383524898,0.99903168260057,0.154788004859739,0.326088689475142,0.745419783985391,-0.876194593503449,0.0963078638294294,0.479035648510333,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"O95967",18.0982784401074,18.2699222847664,18.5347502701343,18.3184428223178,18.2877294920798,18.8415825412679,18.2334348175419,18.4546364861696,17.9202527557983,19.5576276772948,18.2168314334039,19.3509759319278,18.3426798191959,19.0418116808755,18.3009836650027,0.301802679284199,0.721886793413296,0.219887520356174,-0.818746385982041,-0.474943977965697,0.0555061483439106,-0.377757401414733,-0.439276163797471,0.670090806957567,-0.548028329572352,-0.104961661597537,-1.17533161090432,2.10432832653545,-0.581284887412883,1.69040513681011,0.229980079429267,0.652663400033795,-0.699131861679625,0.822103072546644,0.99903168260057,0.0416961541932146,0.21138921804684,0.677446461767279,0.74082801587284,0.229980079429267,0.652663400033795,0.699131861679625,0.822103072546644,0.99903168260057,-0.0416961541932146,0.21138921804684,0.677446461767279,-0.74082801587284,0.0871978262399873,0.467771516464978,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Q9Y6C2",21.1035160147734,21.140011582778,21.2105228367049,21.6646689280182,21.174912807585,21.5697074251933,21.0504798851912,21.47208093464,20.8741452614037,21.6858927650305,21.342317195111,21.8478694007067,21.3009992070052,21.6253597869494,21.1513501447521,0.314512553527029,0.258154874488534,0.0543970332435295,-0.802365196899511,-0.680941065687067,-0.446343600380824,1.06464246166388,-0.5648214617967,0.74869675620944,-0.978821306764656,0.42388439002616,-1.56550291406012,1.13525613097003,-0.00785157674167268,1.674167383461,0.16040672431426,0.59544650071451,-0.324360579944202,0.303982612550866,0.99903168260057,0.149649062253129,0.0804401308672318,0.571483757912136,0.474009642197331,0.16040672431426,0.59544650071451,0.324360579944202,0.303982612550866,0.99903168260057,-0.149649062253129,0.0804401308672318,0.571483757912136,-0.474009642197331,0.132157449356786,0.533990573343461,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
