"enriched_in","Category","Term_accession","Term_description","Count_query","Pop_query","Count_universe","Pop_universe","%_query","%_universe","pval","adjpval","fold_change","Proteins_in_query"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_BP","6654","phosphatidic acid biosynthetic process ",4,187,16,5739,1.60427807486631,0.278794215020038,0.0206368379394188,1,5.7543449197861,"P23743;P52824;Q14693;Q9NUQ2"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_BP","32543","mitochondrial translation ",6,187,48,5739,2.67379679144385,0.836382645060115,0.0250086074558722,1,3.19685828877005,"O60783;P82930;Q16540;Q96EY7;Q9BYN8;Q9P0M9"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_BP","6826","iron ion transport ",3,187,8,5739,1.06951871657754,0.139397107510019,0.0377178335805079,1,7.67245989304813,"P02787;P02792;P02794"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_CC","5576","extracellular region ",37,187,613,5739,19.2513368983957,10.6813033629552,0.000734287886670285,0.07734499072927,1.80233968123806,"O14558;O95352;P00734;P00748;P01700;P02747;P02749;P02774;P02787;P02790;P02792;P02794;P04066;P04217;P04278;P05156;P07357;P08253;P08603;P13284;P27658;P29622;P39059;P39060;P41222;P98095;Q05707;Q13361;Q13510;Q16610;Q8N1F8;Q8WZ42;Q96PD5;Q9BWS9;Q8NBX0;O14498;Q9NZ32"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_CC","62023","collagen-containing extracellular matrix ",17,187,215,5739,8.55614973262032,3.74629726433177,0.00295306870813831,0.226545894643847,2.2838950379306,"P00734;P00748;P02747;P02749;P02790;P04217;P08253;P27658;P39059;P39060;P98095;Q05707;Q13361;Q16610;Q7Z5L7;Q9Y4K0;Q8NDA2"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_CC","72562","blood microparticle ",10,187,92,5739,4.81283422459893,1.60306673636522,0.00437411803936906,0.230370216740104,3.00226691467101,"P00734;P01700;P02747;P02774;P02787;P02790;P04217;P07357;P08514;P08603"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_CC","5615","extracellular space ",29,187,500,5739,14.9732620320856,8.7123192193762,0.00569861942805369,0.257251962752138,1.71863101604278,"O15020;P00734;P00748;P01700;P02747;P02749;P02774;P02787;P02790;P04217;P05156;P07357;P08253;P08603;P27658;P29622;P39059;P39060;P41222;Q00796;Q05707;Q13510;Q16610;Q7Z5L7;Q9BWS9;Q9Y4K0;Q9Y646;A0A075B6I0;Q8NDA2"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_CC","5764","lysosome ",12,187,140,5739,5.88235294117647,2.43944938142534,0.00790141086048734,0.277427314657111,2.41134453781513,"O14773;P04066;P11117;P13284;P17050;Q13510;Q68DK2;Q86VN1;Q8NBJ9;Q9BWS9;Q9NUM4;Q9Y646"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_CC","1905370","serine-type endopeptidase complex ",4,187,12,5739,1.60427807486631,0.209095661265029,0.010627471597313,0.305298274977356,7.67245989304813,"P00734;P00748;P05156;P08603"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_CC","5763","mitochondrial small ribosomal subunit ",4,187,13,5739,1.60427807486631,0.226520299703781,0.0127807790166933,0.336560514106256,7.08227067050597,"O60783;P82930;Q96EY7;Q9BYN8"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_CC","43202","lysosomal lumen ",7,187,62,5739,3.20855614973262,1.08032758320265,0.0197200319526831,0.479348469003681,2.96998447472831,"O14773;P02774;P04066;P11117;P13284;Q13510;Q9BWS9"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_CC","30018","Z disc ",7,187,67,5739,3.20855614973262,1.16745077539641,0.0269788658620341,0.608951543743056,2.7483438422859,"O75112;Q13153;Q14315;Q53GG5;Q8WX93;Q8WZ42;Q9UMS6"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_CC","31089","platelet dense granule lumen ",3,187,8,5739,1.06951871657754,0.139397107510019,0.0377178335805079,0.74492721321503,7.67245989304813,"P02749;P29622;Q16610"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_MF","51371","muscle alpha-actinin binding ",5,187,12,5739,2.13903743315508,0.209095661265029,0.00129647277999853,0.429132490179513,10.2299465240642,"O75112;Q53GG5;Q8WX93;Q8WZ42;Q9UMS6"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_MF","8199","ferric iron binding ",3,187,5,5739,1.06951871657754,0.087123192193762,0.0187298485915258,1,12.275935828877,"P02787;P02792;P02794"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_MF","8307","structural constituent of muscle ",4,187,22,5739,1.60427807486631,0.383342045652553,0.042696907727232,1,4.1849781234808,"O15061;P14649;P53814;Q8WZ42"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","GO_MF","5201","extracellular matrix structural constituent ",6,187,57,5739,2.67379679144385,0.993204391008886,0.0450524777105938,1,2.6920911905432,"P27658;P39059;P39060;P98095;Q05707;Q13361"
"statistics$`eBPD_vs_ctrl_Ttest_p`<0.05 & statistics$`log(eBPD/ctrl)`>0","KEGG_pathway","path:hsa00561","Glycerolipid metabolism - Homo sapiens (human)",5,187,24,5739,2.13903743315508,0.418191322530057,0.0108575000855124,1,5.11497326203208,"P23743;P52824;P30837;Q14693;Q9NUQ2"
